Time,FPR
0,0.0
0,0.01
0,0.020202020202020204
0,0.02040816326530612
0,0.030612244897959183
0,0.020202020202020204
0,0.04040404040404041
0,0.03
0,0.07216494845360824
0,0.07216494845360824
0,0.10101010101010101
0,0.030612244897959183
0,0.08421052631578947
0,0.15306122448979592
0,0.11224489795918367
0,0.12371134020618557
0,0.15151515151515152
0,0.1326530612244898
0,0.21649484536082475
0,0.24489795918367346
0,0.3333333333333333
0,0.21505376344086022
0,0.2826086956521739
0,0.25806451612903225
0,0.3684210526315789
0,0.3711340206185567
0,0.45263157894736844
0,0.4666666666666667
0,0.4731182795698925
0,0.48936170212765956
